,Year,State,Total Housing,Total Vacancies,Total Renter Occupied,Owner Occupied,For Rent,For Sale,County
38,2010, Idaho,4973,1187,1525,2261,184,196,Teton County
83,2011, Idaho,5265,1453,1322,2490,195,311,Teton County
128,2012, Idaho,5422,1745,1108,2569,212,296,Teton County
173,2013, Idaho,5462,1879,999,2584,310,302,Teton County
218,2014, Idaho,5496,1938,1024,2534,234,273,Teton County
263,2015, Idaho,5498,1893,1017,2588,202,239,Teton County
308,2016, Idaho,5512,1787,1063,2662,212,122,Teton County
353,2017, Idaho,5610,1846,1022,2742,259,135,Teton County
398,2018, Idaho,5707,1971,973,2763,169,104,Teton County
443,2019, Idaho,5833,2126,825,2882,161,99,Teton County
13,2010, Utah,18822,1104,4331,13387,235,121,Tooele County
58,2011, Utah,19229,1210,4509,13510,299,251,Tooele County
103,2012, Utah,19496,1278,4579,13639,324,215,Tooele County
148,2013, Utah,19676,1395,4528,13753,454,251,Tooele County
193,2014, Utah,19925,1525,4327,14073,527,276,Tooele County
238,2015, Utah,20148,1517,4284,14347,529,239,Tooele County
283,2016, Utah,20425,1359,4302,14764,436,113,Tooele County
328,2017, Utah,20985,1423,4063,15499,525,169,Tooele County
373,2018, Utah,21417,1516,4033,15868,475,141,Tooele County
418,2019, Utah,21959,1481,3902,16576,473,82,Tooele County
14,2010, Utah,142770,7150,41478,94142,1733,1720,Utah County
59,2011, Utah,146301,7497,42877,95927,1545,1842,Utah County
104,2012, Utah,148683,7431,44501,96751,1404,1637,Utah County
149,2013, Utah,150377,7372,45940,97065,1474,1593,Utah County
194,2014, Utah,152545,7076,47549,97920,1431,1372,Utah County
239,2015, Utah,155425,6961,49095,99369,1357,1344,Utah County
284,2016, Utah,158690,7348,49602,101740,1684,1233,Utah County
329,2017, Utah,163289,7625,50961,104703,1922,1168,Utah County
374,2018, Utah,168597,7948,52044,108605,1908,1063,Utah County
419,2019, Utah,174162,8171,53700,112291,2258,869,Utah County
39,2010, Idaho,11246,6858,978,3410,237,218,Valley County
84,2011, Idaho,11580,7561,918,3101,260,227,Valley County
129,2012, Idaho,11696,8059,785,2852,180,180,Valley County
174,2013, Idaho,11769,8250,782,2737,135,160,Valley County
219,2014, Idaho,11825,8585,753,2487,122,117,Valley County
264,2015, Idaho,11868,8680,874,2314,41,85,Valley County
309,2016, Idaho,11920,8474,801,2645,0,50,Valley County
354,2017, Idaho,12097,8565,859,2673,33,103,Valley County
399,2018, Idaho,12228,8767,736,2725,84,104,Valley County
444,2019, Idaho,12373,8504,742,3127,85,95,Valley County
28,2010, Florida,43771,20855,5651,17265,453,719,Walton County
73,2011, Florida,44613,22159,5842,16612,534,762,Walton County
118,2012, Florida,45064,22545,6233,16286,482,628,Walton County
163,2013, Florida,45482,22843,6042,16597,411,490,Walton County
208,2014, Florida,46181,23543,6216,16422,405,457,Walton County
253,2015, Florida,46918,23428,6632,16858,553,544,Walton County
298,2016, Florida,47821,23492,6994,17335,1408,419,Walton County
343,2017, Florida,49446,23997,7328,18121,2705,424,Walton County
388,2018, Florida,50699,24267,6881,19551,4300,434,Walton County
433,2019, Florida,51996,24576,6953,20467,5677,514,Walton County
10,2010, Utah,9983,2829,1578,5576,92,138,Wasatch County
55,2011, Utah,10346,3081,1633,5632,83,168,Wasatch County
100,2012, Utah,10619,3247,1711,5661,81,171,Wasatch County
145,2013, Utah,10824,3222,1864,5738,91,182,Wasatch County
190,2014, Utah,11058,3306,1991,5761,99,200,Wasatch County
235,2015, Utah,11352,3257,2186,5909,117,100,Wasatch County
280,2016, Utah,11710,3017,2559,6134,109,99,Wasatch County
325,2017, Utah,12194,3154,2731,6309,188,86,Wasatch County
370,2018, Utah,12715,3148,2747,6820,191,73,Wasatch County
415,2019, Utah,13221,3342,2670,7209,205,47,Wasatch County
11,2010, Utah,55877,9982,13354,32541,659,1247,Washington County
56,2011, Utah,57016,10928,13768,32320,753,1253,Washington County
101,2012, Utah,57996,11470,14396,32130,818,1233,Washington County
146,2013, Utah,58693,11867,14477,32349,875,992,Washington County
191,2014, Utah,59797,11892,14821,33084,943,781,Washington County
236,2015, Utah,61026,12106,15273,33647,918,667,Washington County
281,2016, Utah,62393,12137,14741,35515,1018,712,Washington County
326,2017, Utah,64509,12124,15663,36722,880,544,Washington County
371,2018, Utah,66604,11902,16577,38125,780,593,Washington County
416,2019, Utah,68789,11645,16914,40230,651,582,Washington County
31,2010, Nevada,181716,20919,63944,96853,6648,3346,Washoe County
76,2011, Nevada,183531,22642,64992,95897,7240,3372,Washoe County
121,2012, Nevada,184432,22540,67001,94891,7398,3300,Washoe County
166,2013, Nevada,184882,21684,68602,94596,7056,2585,Washoe County
211,2014, Nevada,185685,21224,70511,93950,6467,2335,Washoe County
256,2015, Nevada,186481,20136,71875,94470,6030,1938,Washoe County
301,2016, Nevada,187716,18701,72960,96055,5232,1833,Washoe County
346,2017, Nevada,191068,17549,73382,100137,4431,1853,Washoe County
391,2018, Nevada,193956,16324,74540,103092,3866,1667,Washoe County
436,2019, Nevada,197371,15191,75925,106255,3406,1561,Washoe County
20,2010, Colorado,94434,7658,24552,62224,2177,1871,Weld County
65,2011, Colorado,95601,7359,25546,62696,2104,1634,Weld County
110,2012, Colorado,96351,6798,26448,63105,1960,1274,Weld County
155,2013, Colorado,96879,6414,27024,63441,1900,1064,Weld County
200,2014, Colorado,97904,5535,27752,64617,1340,896,Weld County
245,2015, Colorado,99226,4932,28870,65424,1225,708,Weld County
290,2016, Colorado,100935,4319,28964,67652,990,553,Weld County
335,2017, Colorado,104147,4330,28366,71451,1068,547,Weld County
380,2018, Colorado,106198,4097,27957,74144,1050,415,Weld County
425,2019, Colorado,109170,4499,28350,76321,1337,396,Weld County
46,2010, North Dakota,10184,992,2648,6544,45,23,Williams County
91,2011, North Dakota,10347,1074,2710,6563,39,10,Williams County
136,2012, North Dakota,10884,1142,2870,6872,35,12,Williams County
181,2013, North Dakota,11844,1433,3185,7226,82,62,Williams County
226,2014, North Dakota,13063,1950,3563,7550,214,86,Williams County
271,2015, North Dakota,14683,2601,4347,7735,419,169,Williams County
316,2016, North Dakota,16337,3947,4410,7980,923,283,Williams County
361,2017, North Dakota,17790,4895,4920,7975,1547,259,Williams County
406,2018, North Dakota,18726,5031,6394,7301,1677,337,Williams County
451,2019, North Dakota,19322,5002,6787,7533,1637,371,Williams County
43,2010, Arizona,108244,19135,24547,64562,1668,2949,Yavapai County
88,2011, Arizona,109634,19325,25446,64863,1429,3222,Yavapai County
133,2012, Arizona,110317,19149,26682,64486,1537,3120,Yavapai County
