State,County,CountyID,Population Change Abs,Pop Change (%),Attribute,Value
AR,Craighead,CraigheadAR,13889,14.40125255,2013,101653
AR,Craighead,CraigheadAR,13889,14.40125255,2014,102661
AR,Craighead,CraigheadAR,13889,14.40125255,2015,104457
AR,Craighead,CraigheadAR,13889,14.40125255,2016,105932
AR,Craighead,CraigheadAR,13889,14.40125255,2017,107188
AR,Craighead,CraigheadAR,13889,14.40125255,2018,108816
AR,Craighead,CraigheadAR,13889,14.40125255,2019,110332
AR,Saline,SalineAR,15302,14.28291408,2010,107656
AR,Saline,SalineAR,15302,14.28291408,2011,109553
AR,Saline,SalineAR,15302,14.28291408,2012,111442
AR,Saline,SalineAR,15302,14.28291408,2013,113348
AR,Saline,SalineAR,15302,14.28291408,2014,114874
AR,Saline,SalineAR,15302,14.28291408,2015,116390
AR,Saline,SalineAR,15302,14.28291408,2016,117656
AR,Saline,SalineAR,15302,14.28291408,2017,119520
AR,Saline,SalineAR,15302,14.28291408,2018,121074
AR,Saline,SalineAR,15302,14.28291408,2019,122437
AR,Faulkner,FaulknerAR,12769,11.27625002,2010,114026
AR,Faulkner,FaulknerAR,12769,11.27625002,2011,116280
AR,Faulkner,FaulknerAR,12769,11.27625002,2012,118523
AR,Faulkner,FaulknerAR,12769,11.27625002,2013,119176
AR,Faulkner,FaulknerAR,12769,11.27625002,2014,120562
AR,Faulkner,FaulknerAR,12769,11.27625002,2015,121241
AR,Faulkner,FaulknerAR,12769,11.27625002,2016,122206
AR,Faulkner,FaulknerAR,12769,11.27625002,2017,123530
AR,Faulkner,FaulknerAR,12769,11.27625002,2018,125138
AR,Faulkner,FaulknerAR,12769,11.27625002,2019,126007
CA,Placer,PlacerCA,49827,14.29747892,2010,350021
CA,Placer,PlacerCA,49827,14.29747892,2011,356328
CA,Placer,PlacerCA,49827,14.29747892,2012,360263
CA,Placer,PlacerCA,49827,14.29747892,2013,365398
CA,Placer,PlacerCA,49827,14.29747892,2014,369217
CA,Placer,PlacerCA,49827,14.29747892,2015,372841
CA,Placer,PlacerCA,49827,14.29747892,2016,378943
CA,Placer,PlacerCA,49827,14.29747892,2017,385115
CA,Placer,PlacerCA,49827,14.29747892,2018,392330
CA,Placer,PlacerCA,49827,14.29747892,2019,398329
CA,SanBenito,SanBenitoCA,7543,13.64878314,2010,55516
CA,SanBenito,SanBenitoCA,7543,13.64878314,2011,55977
CA,SanBenito,SanBenitoCA,7543,13.64878314,2012,56599
CA,SanBenito,SanBenitoCA,7543,13.64878314,2013,57239
CA,SanBenito,SanBenitoCA,7543,13.64878314,2014,57825
CA,SanBenito,SanBenitoCA,7543,13.64878314,2015,58216
CA,SanBenito,SanBenitoCA,7543,13.64878314,2016,59225
CA,SanBenito,SanBenitoCA,7543,13.64878314,2017,60164
CA,SanBenito,SanBenitoCA,7543,13.64878314,2018,61467
CA,SanBenito,SanBenitoCA,7543,13.64878314,2019,62808
CA,Riverside,RiversideCA,280781,12.82242615,2010,2201576
CA,Riverside,RiversideCA,280781,12.82242615,2011,2234070
CA,Riverside,RiversideCA,280781,12.82242615,2012,2261204
CA,Riverside,RiversideCA,280781,12.82242615,2013,2286755
CA,Riverside,RiversideCA,280781,12.82242615,2014,2316162
CA,Riverside,RiversideCA,280781,12.82242615,2015,2345816
CA,Riverside,RiversideCA,280781,12.82242615,2016,2380081
CA,Riverside,RiversideCA,280781,12.82242615,2017,2414964
CA,Riverside,RiversideCA,280781,12.82242615,2018,2445789
CA,Riverside,RiversideCA,280781,12.82242615,2019,2470546
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2010,687127
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2011,694354
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2012,699593
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2013,702046
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2014,711579
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2015,722271
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2016,732809
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2017,743296
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2018,752491
CA,SanJoaquin,SanJoaquinCA,76842,11.21280129,2019,762148
CA,Alameda,AlamedaCA,161071,10.66513139,2010,1512986
CA,Alameda,AlamedaCA,161071,10.66513139,2011,1530915
CA,Alameda,AlamedaCA,161071,10.66513139,2012,1553764
CA,Alameda,AlamedaCA,161071,10.66513139,2013,1579593
CA,Alameda,AlamedaCA,161071,10.66513139,2014,1607792
CA,Alameda,AlamedaCA,161071,10.66513139,2015,1634538
CA,Alameda,AlamedaCA,161071,10.66513139,2016,1650950
CA,Alameda,AlamedaCA,161071,10.66513139,2017,1660196
CA,Alameda,AlamedaCA,161071,10.66513139,2018,1666756
CA,Alameda,AlamedaCA,161071,10.66513139,2019,1671329
